N,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
3739,5/13/1988,Friday the 13th Part VII: The New Blood,2800000,19170001,19170001
3740,9/15/2006,Artie Lange's Beer League,2800000,475000,475000
3741,8/25/1939,The Wizard of Oz,2777000,33711566,33711566
3742,2/15/2008,Diary of the Dead,2750000,952620,5394447
3743,10/17/1979,The Black Stallion,2700000,37799643,37799643
3744,6/13/1997,Ulee's Gold,2700000,9054736,15600000
3745,9/1/2006,Lage Raho Munna Bhai,2700000,2217561,31517561
3746,12/31/2008,Rejsen til Saturn,2700000,0,2783634
3747,1/1/1963,Donovan's Reef,2686000,6600000,6600000
3748,1/16/1998,The Dress,2650000,16556,16556
3749,12/24/1943,A Guy Named Joe,2627000,5363000,5363000
3750,1/1/1974,Blazing Saddles,2600000,119500000,119500000
3751,4/13/1984,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880
3752,7/9/2004,Riding Giants,2600000,2276368,3216111
3753,12/12/2008,Los Cronocrímenes,2600000,39127,564474
3754,12/7/2007,Timber Falls,2600000,0,0
3755,12/31/2008,Silver Medalist,2600000,0,0
3756,4/10/1952,Singin' in the Rain,2540000,7200000,7200000
3757,1/11/2013,A Haunted House,2500000,40041683,59922558
3758,7/13/2012,2016: Obama’s America,2500000,33349941,33349941
3759,7/3/2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255
3760,7/28/2004,Garden State,2500000,26782316,36028802
3761,10/4/1996,That Thing You Do!,2500000,25857416,34557416
3762,10/30/1981,Halloween II,2500000,25533818,25533818
3763,10/22/1982,Halloween 3: Season of the Witch,2500000,14400000,14400000
3764,10/1/2008,Religulous,2500000,13011160,13136074
3765,1/1/1971,Escape from the Planet of the Apes,2500000,12300000,12300000
3766,5/29/1963,Hud,2500000,10000000,10000000
3767,8/2/2013,The Spectacular Now,2500000,6852971,6916951
3768,9/29/1991,My Own Private Idaho,2500000,6401336,6401336
3769,1/27/1995,Before Sunrise,2500000,5274005,5274005
3770,10/3/2003,Sur Le Seuil,2500000,2013052,2013052
3771,6/16/2000,Jesus' Son,2500000,1282084,1687548
3772,5/27/2005,Saving Face,2500000,1187266,1387266
3773,6/20/2008,Brick Lane,2500000,1094998,3838486
3774,9/26/2003,My Life Without Me,2500000,432360,9476113
3775,3/31/2006,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,349132,497195
3776,4/1/2011,Super,2500000,327716,518362
3777,4/9/2010,Valley of the Hearts Delight,2500000,118666,118666
3778,4/17/2009,Sleep Dealer,2500000,80136,108907
3779,8/16/2013,Underdogs,2500000,35017,35017
3780,9/8/2000,Anatomie,2500000,9598,9598
3781,12/31/2009,The Calling,2500000,0,0
3782,6/21/2013,Alien Uprising,2500000,0,0
3783,12/31/2010,Christmas Mail,2500000,0,0
3784,7/11/2014,Boyhood,2400000,23721469,39000284
3785,10/16/1996,Get on the Bus,2400000,5691854,5691854
3786,1/5/2007,Thr3e,2400000,1008849,1060418
3787,7/25/2007,This is England,2380000,327919,8739576
3788,1/1/1944,Bathing Beauty,2361000,3500000,3500000
